Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0805_2012Metric",107.300000,-71.300000,0.000000,top
"C2","8.2n","C_0603_1608Metric",110.700000,-69.900000,270.000000,top
"C3","22u","C_0805_2012Metric",90.250000,-40.000000,180.000000,top
"C4","3.3n","C_0603_1608Metric",107.500000,-61.900000,180.000000,top
"C5","100n","C_0402_1005Metric",91.000000,-38.500000,180.000000,top
"C6","15n","C_0603_1608Metric",107.600000,-59.300000,180.000000,top
"C7","100n","C_0402_1005Metric",105.100000,-71.300000,270.000000,top
"C8","100n","C_0402_1005Metric",91.500000,-42.900000,270.000000,top
"C9","22u","C_0805_2012Metric",99.700000,-64.100000,270.000000,top
"C10","100n","C_0402_1005Metric",99.950000,-72.800000,0.000000,top
"C11","100n","C_0402_1005Metric",93.000000,-75.300000,0.000000,top
"C12","100n","C_0402_1005Metric",99.100000,-75.800000,180.000000,top
"C13","100n","C_0402_1005Metric",95.000000,-76.100000,180.000000,top
"D1","SS54","D_SMA",102.500000,-66.100000,270.000000,top
"D2","SS54","D_SMA",89.250000,-55.750000,270.000000,top
"D3","SMF05CT1G","SOT-363_SC-70-6",97.250000,-83.750000,90.000000,top
"L1","33u","L_TDK_SLF6028",102.300000,-59.100000,180.000000,top
"Q1","AO3400A","SOT-23",89.250000,-61.250000,90.000000,top
"R1","1k","R_0402_1005Metric",108.100000,-60.600000,180.000000,top
"R2","10k","R_0402_1005Metric",91.000000,-41.500000,0.000000,top
"R3","10k","R_0402_1005Metric",91.500000,-48.400000,270.000000,top
"R4","7.5k","R_0402_1005Metric",108.200000,-57.000000,0.000000,top
"R5","2.4k","R_0402_1005Metric",108.200000,-58.000000,180.000000,top
"R6","100k","R_0402_1005Metric",94.500000,-84.000000,270.000000,top
"R7","100k","R_0402_1005Metric",100.500000,-84.000000,270.000000,top
"R8","10k","R_0402_1005Metric",92.500000,-73.800000,90.000000,top
"R9","10k","R_0402_1005Metric",99.500000,-74.300000,90.000000,top
"R10","100k","R_0402_1005Metric",97.000000,-75.100000,180.000000,top
"R11","100k","R_0402_1005Metric",95.000000,-75.100000,180.000000,top
"R12","10k","R_0402_1005Metric",91.500000,-59.800000,90.000000,top
"SW1","SKRKAEE020","SW_Push_SPST_NO_Alps_SKRK",93.800000,-54.600000,0.000000,top
"U1","ESP-WROOM-02","ESP-WROOM-02",101.500000,-44.500000,0.000000,top
"U2","TPS54331DR","SOIC-8_3.9x4.9mm_P1.27mm",107.100000,-66.500000,90.000000,top
"U3","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",96.000000,-72.800000,0.000000,top
